,salary_in_usd,Medium companies,Small companies,Large companies,Full Time,Part Time,Contract,Freelance,Entry level,Mid level,Senior Level,Executive Level
4,150000,0,0,1,1,0,0,0,0,0,1,0
5,72000,0,0,1,1,0,0,0,1,0,0,0
6,190000,0,1,0,1,0,0,0,0,0,1,0
8,135000,0,0,1,1,0,0,0,0,1,0,0
13,87000,0,0,1,1,0,0,0,0,1,0,0
14,85000,0,0,1,1,0,0,0,0,1,0,0
23,98000,1,0,0,1,0,0,0,0,1,0,0
25,325000,0,0,1,1,0,0,0,0,0,0,1
28,100000,0,0,1,0,0,1,0,1,0,0,0
31,70000,0,0,1,1,0,0,0,1,0,0,0
33,450000,1,0,0,1,0,0,0,0,1,0,0
36,103000,0,0,1,1,0,0,0,0,1,0,0
37,250000,0,0,1,1,0,0,0,1,0,0,0
39,138000,0,1,0,1,0,0,0,1,0,0,0
43,106000,0,0,1,1,0,0,0,0,1,0,0
47,188000,0,0,1,1,0,0,0,0,0,1,0
48,105000,0,0,1,1,0,0,0,0,1,0,0
51,91000,0,0,1,1,0,0,0,1,0,0,0
57,118000,1,0,0,1,0,0,0,0,1,0,0
58,120000,0,0,1,1,0,0,0,0,0,1,0
59,138350,1,0,0,1,0,0,0,0,1,0,0
60,110000,0,0,1,1,0,0,0,0,1,0,0
63,412000,0,0,1,1,0,0,0,0,0,1,0
67,190200,1,0,0,1,0,0,0,0,0,1,0
68,105000,0,1,0,1,0,0,0,1,0,0,0
74,235000,0,0,1,1,0,0,0,0,0,0,1
76,100000,1,0,0,1,0,0,0,0,1,0,0
78,270000,0,0,1,0,0,1,0,0,1,0,0
79,80000,1,0,0,1,0,0,0,1,0,0,0
81,140000,0,0,1,1,0,0,0,0,1,0,0
87,110000,0,0,1,1,0,0,0,0,1,0,0
88,170000,0,0,1,1,0,0,0,0,0,1,0
93,276000,0,0,1,1,0,0,0,0,0,1,0
97,450000,0,0,1,1,0,0,0,0,1,0,0
98,70000,1,0,0,1,0,0,0,1,0,0,0
100,75000,0,0,1,1,0,0,0,0,1,0,0
101,150000,0,0,1,1,0,0,0,0,0,1,0
103,62000,0,0,1,1,0,0,0,0,1,0,0
104,73000,0,0,1,1,0,0,0,0,1,0,0
107,115000,0,1,0,1,0,0,0,0,0,1,0
108,150000,1,0,0,1,0,0,0,0,0,1,0
115,225000,0,0,1,1,0,0,0,1,0,0,0
118,90000,0,1,0,1,0,0,0,1,0,0,0
119,200000,0,0,1,1,0,0,0,0,1,0,0
121,200000,1,0,0,1,0,0,0,0,0,1,0
122,50000,1,0,0,1,0,0,0,1,0,0,0
125,151000,0,0,1,1,0,0,0,0,1,0,0
126,120000,0,1,0,1,0,0,0,0,0,1,0
134,100000,0,1,0,1,0,0,0,1,0,0,0
135,90000,1,0,0,1,0,0,0,0,1,0,0
138,220000,0,0,1,1,0,0,0,0,0,1,0
139,80000,1,0,0,1,0,0,0,1,0,0,0
140,135000,0,0,1,1,0,0,0,0,1,0,0
141,240000,0,0,1,1,0,0,0,0,0,1,0
142,150000,0,0,1,1,0,0,0,0,0,1,0
143,82500,0,1,0,1,0,0,0,0,1,0,0
144,100000,0,0,1,1,0,0,0,0,1,0,0
147,90000,0,0,1,1,0,0,0,0,1,0,0
148,153000,0,0,1,1,0,0,0,0,0,1,0
151,150000,1,0,0,1,0,0,0,0,1,0,0
154,144000,0,0,1,1,0,0,0,0,0,1,0
157,423000,0,0,1,1,0,0,0,0,1,0,0
158,120000,1,0,0,1,0,0,0,0,0,1,0
